top,lat,lon,humidity,temp,accel,dust
$data,50.842105,4.323049,40.00,25.30,0.00,167
$data,50.842105,4.323053,39.90,25.30,0.00,204
$data,50.842082,4.323105,39.90,25.30,0.00,176
$data,50.842063,4.323142,39.80,25.30,0.00,184
$data,50.842056,4.323150,39.80,25.30,0.00,177
$data,50.842048,4.323153,39.70,25.30,0.00,207
$data,50.842048,4.323153,39.70,25.30,0.00,142
$data,50.842048,4.323157,39.90,25.30,0.00,225
$data,50.842048,4.323157,39.90,25.30,0.00,168
$data,50.842041,4.323162,39.90,25.30,0.00,162
$data,50.842033,4.323158,39.90,25.30,0.00,190
$data,50.842006,4.323168,39.70,25.30,0.00,162
$data,50.841991,4.323187,39.70,25.30,0.00,173
$data,50.841968,4.323206,39.60,25.30,0.00,229
$data,50.841941,4.323220,39.60,25.30,0.00,142
$data,50.841903,4.323275,39.60,25.30,0.00,170
$data,50.841896,4.323291,39.60,25.30,0.00,165
$data,50.841876,4.323305,39.70,25.30,0.00,172
$data,50.841869,4.323318,39.70,25.30,0.00,137
$data,50.841869,4.323320,39.80,25.30,0.00,178
$data,50.841861,4.323318,39.80,25.30,0.00,179
$data,50.841869,4.323328,39.70,25.30,0.00,160
$data,50.841869,4.323338,39.70,25.30,0.00,153
$data,50.841861,4.323347,39.70,25.30,0.00,158
$data,50.841854,4.323351,39.70,25.30,0.00,144
$data,50.841838,4.323357,39.70,25.40,0.05,167
$data,50.841831,4.323362,39.70,25.40,0.00,167
$data,50.841819,4.323369,39.50,25.30,0.00,185
$data,50.841831,4.323365,39.50,25.30,0.00,162
$data,50.841831,4.323365,39.50,25.30,0.10,201
$data,50.841831,4.323365,39.50,25.30,0.30,175
$data,50.841831,4.323373,39.60,25.40,0.05,170
$data,50.841838,4.323379,39.60,25.40,0.00,174
$data,50.841846,4.323379,39.60,25.40,0.00,155
$data,50.841854,4.323377,39.60,25.40,0.30,120
$data,50.841854,4.323379,39.40,25.40,0.00,185
$data,50.841861,4.323377,39.40,25.40,0.00,157
$data,50.841861,4.323379,39.20,25.30,0.25,183
$data,50.841861,4.323381,39.20,25.30,0.00,142
$data,50.841869,4.323381,39.30,25.40,0.05,146
$data,50.841876,4.323387,39.30,25.40,0.00,160
$data,50.841854,4.323428,39.20,25.30,0.10,185
$data,50.841854,4.323440,39.20,25.30,0.05,184
$data,50.841846,4.323448,39.10,25.40,0.45,177
$data,50.841896,4.323450,39.10,25.40,0.60,97
$data,50.841953,4.323440,38.70,25.30,0.70,173
$data,50.841991,4.323439,38.70,25.30,0.80,163
$data,50.842018,4.323440,38.60,25.30,0.55,168
$data,50.842041,4.323431,38.60,25.30,0.10,166
$data,50.842056,4.323423,38.60,25.30,0.30,222
$data,50.842063,4.323407,38.60,25.30,0.05,215
$data,50.842082,4.323381,38.70,25.40,0.15,176
$data,50.842105,4.323358,38.70,25.40,0.25,198
$data,50.842128,4.323333,38.70,25.30,0.15,165
$data,50.842147,4.323305,38.70,25.30,0.00,174
$data,50.842163,4.323278,38.60,25.40,0.40,170
$data,50.842185,4.323242,38.60,25.40,0.25,162
$data,50.842212,4.323198,38.50,25.40,0.05,172
$data,50.842250,4.323152,38.50,25.40,0.05,177
$data,50.842285,4.323106,38.30,25.40,0.45,194
$data,50.842319,4.323063,38.30,25.40,0.35,171
$data,50.842350,4.323015,38.30,25.40,0.05,165
$data,50.842365,4.322972,38.30,25.40,0.15,159
$data,50.842384,4.322937,38.00,25.30,0.00,151
$data,50.842399,4.322897,38.00,25.30,0.05,150
$data,50.842414,4.322860,38.00,25.30,0.00,178
$data,50.842441,4.322828,38.00,25.30,0.00,137
$data,50.842479,4.322798,38.00,25.30,1.30,175
$data,50.842521,4.322790,38.00,25.40,0.00,201
$data,50.842571,4.322790,38.00,25.40,0.20,116
