$data,50.841567,4.322576,28.40,27.30,0.00,200
$data,50.841575,4.322525,28.40,27.30,0.00,144
$data,50.841587,4.322486,28.70,27.30,0.00,184
$data,50.841575,4.322455,28.70,27.30,0.00,166
$data,50.841567,4.322435,28.90,27.30,0.10,176
$data,50.841567,4.322415,28.90,27.30,0.00,172
$data,50.841552,4.322397,28.90,27.30,0.00,133
$data,50.841545,4.322380,28.90,27.30,0.00,176
$data,50.841537,4.322371,28.70,27.30,0.00,174
$data,50.841518,4.322377,28.70,27.30,0.00,139
$data,50.841518,4.322377,28.50,27.30,0.00,155
$data,50.841510,4.322375,28.50,27.30,0.00,163
$data,50.841503,4.322371,28.40,27.30,0.00,176
$data,50.841503,4.322368,28.40,27.30,0.00,160
$data,50.841495,4.322367,28.30,27.30,0.00,167
$data,50.841495,4.322362,28.30,27.30,0.00,176
$data,50.841495,4.322360,28.20,27.30,0.00,183
$data,50.841503,4.322365,28.20,27.30,0.00,149
$data,50.841503,4.322371,28.10,27.30,0.00,163
$data,50.841503,4.322375,28.10,27.30,0.00,160
$data,50.841487,4.322392,28.20,27.30,0.00,161
$data,50.841480,4.322395,28.20,27.30,0.00,214
