top,lat,lon,humidity,temp,accel,dust
$data,50.841430,4.322593,26.90,26.50,0.00,188
$data,50.841438,4.322605,26.90,26.50,0.00,185
$data,50.841445,4.322620,26.80,26.40,0.00,204
$data,50.841453,4.322632,26.80,26.40,0.00,150
$data,50.841464,4.322641,26.90,26.40,0.00,178
$data,50.841472,4.322660,26.90,26.40,0.00,184
$data,50.841480,4.322677,26.80,26.40,0.00,167
$data,50.841487,4.322695,26.80,26.40,0.00,188
$data,50.841495,4.322720,26.70,26.30,0.00,169
$data,50.841503,4.322743,26.70,26.30,0.00,180
$data,50.841510,4.322768,26.80,26.30,0.00,163
$data,50.841518,4.322805,26.80,26.30,0.00,158
$data,50.841529,4.322844,26.80,26.30,0.00,160
$data,50.841537,4.322886,26.80,26.30,0.00,172
$data,50.841537,4.322908,26.80,26.30,0.00,170
$data,50.841537,4.322930,26.80,26.30,0.00,156
$data,50.841537,4.322970,26.80,26.30,0.00,151
$data,50.841537,4.323010,26.80,26.30,0.00,175
$data,50.841545,4.323053,26.80,26.30,0.00,150
$data,50.841552,4.323076,26.80,26.30,0.00,176
$data,50.841560,4.323100,26.80,26.20,0.00,183
$data,50.841587,4.323120,26.80,26.20,0.00,150
$data,50.841602,4.323142,26.60,26.20,0.00,164
$data,50.841625,4.323163,26.60,26.20,0.00,158
$data,50.841632,4.323187,26.40,26.20,0.00,163
$data,50.841560,4.322625,27.30,25.60,0.00,159
$data,50.841537,4.322614,27.30,25.60,0.00,170
$data,50.841518,4.322603,27.30,25.60,0.00,159
$data,50.841495,4.322593,27.20,25.60,0.00,160
$data,50.841487,4.322576,27.20,25.60,0.00,168
$data,50.841480,4.322566,27.20,25.60,0.00,141
$data,50.841480,4.322548,27.20,25.60,0.00,147
$data,50.841472,4.322525,27.30,25.60,0.00,181
$data,50.841472,4.322508,27.30,25.60,0.00,135
$data,50.841472,4.322490,27.30,25.60,0.00,160
$data,50.841472,4.322473,27.30,25.60,0.00,165
$data,50.841472,4.322462,27.30,25.60,0.00,170
$data,50.841480,4.322439,27.30,25.60,0.00,174
$data,50.841472,4.322422,27.30,25.60,0.00,167
$data,50.841472,4.322412,27.30,25.60,0.00,153
$data,50.841472,4.322388,27.40,25.60,0.00,155
$data,50.841472,4.322367,27.40,25.60,0.00,150
$data,50.841472,4.322360,27.40,25.60,0.00,177
$data,50.841472,4.322355,27.40,25.60,0.00,170
$data,50.841472,4.322355,27.30,25.60,0.00,188
$data,50.841472,4.322360,27.30,25.60,0.00,160
$data,50.841472,4.322367,27.40,25.60,0.00,147
$data,50.841464,4.322370,27.40,25.60,0.00,180
$data,50.841472,4.322375,27.40,25.60,0.00,171
$data,50.841472,4.322379,27.40,25.60,0.00,162
$data,50.841472,4.322383,27.30,25.60,0.00,160
$data,50.841472,4.322381,27.30,25.60,0.00,173
