$data,50.841464,4.322418,28.20,27.30,0.00,183
$data,50.841453,4.322426,28.20,27.30,0.00,156
$data,50.841445,4.322432,28.20,27.30,0.00,161
$data,50.841438,4.322439,28.20,27.30,0.00,187
$data,50.841430,4.322440,28.20,27.30,0.00,281
$data,50.841415,4.322442,28.20,27.30,0.00,190
$data,50.841407,4.322447,28.20,27.30,0.00,146
$data,50.841396,4.322450,28.20,27.30,0.00,168
$data,50.841396,4.322452,28.30,27.40,0.00,151
$data,50.841381,4.322455,28.30,27.40,0.00,225
$data,50.841373,4.322458,28.20,27.40,0.00,170
$data,50.841342,4.322460,28.20,27.40,0.00,149
$data,50.841316,4.322462,28.20,27.40,0.00,154
$data,50.841293,4.322462,28.20,27.40,0.00,164
$data,50.841266,4.322455,28.30,27.40,0.00,157
$data,50.841251,4.322447,28.30,27.40,0.00,144
$data,50.841236,4.322445,28.30,27.40,0.00,153
